address,zip,tier,property_type,bedrooms,price,monthly_rent,cap_rate,required_down_pct,gap_vs_25pct_down,gap_vs_35pct_down,rent_unverifiable
"415 Jeffrey St, Bakersfield, CA 93305",93305,cash-flow,Single Family,2,226000,1530,0.04899989380530973,0.386245427701865,0.13624542770186499,0.03624542770186501,False
"911 N Chester Ave, Bakersfield, CA 93308",93308,cash-flow,Single Family,,293000,1890,0.047614634812286685,0.4035966702201269,0.1535966702201269,0.05359667022012693,False
"1013 Mira Loma Dr, Bakersfield, CA 93309",93309,middle,Single Family,2,292000,1790,0.04437728767123287,0.44414648483467944,0.19414648483467944,0.09414648483467947,False
"1308 Quartz Hill Dr, Bakersfield, CA 93307",93307,cash-flow,Single Family,3,346000,2040,0.042988346820809244,0.46154384493889233,0.21154384493889233,0.11154384493889236,False
"1520 Sugarleaf Ridge Dr, Bakersfield, CA 93311",93311,appreciation,Single Family,3,566000,3140,0.04151428975265017,0.48000733934983286,0.23000733934983286,0.13000733934983288,False
"10105 Commodore Dr, Bakersfield, CA 93312",93312,appreciation,Single Family,3,431000,2430,0.041425187935034795,0.4811233958086243,0.2311233958086243,0.1311233958086243,False
"10116 Mountaingate Ln, Bakersfield, CA 93311",93311,appreciation,Multi-Family,1,366000,2060,0.040586754098360656,0.4916253083815951,0.24162530838159513,0.14162530838159515,False
"5528 Mar Grande Dr, Bakersfield, CA 93307",93307,cash-flow,Single Family,3,394000,2200,0.04048791878172589,0.4928632830541555,0.2428632830541555,0.14286328305415552,False
"605 Harrisburg St, Bakersfield, CA 93314",93314,appreciation,Single Family,3,485000,2660,0.04034901443298969,0.4946031476238151,0.24460314762381508,0.1446031476238151,False
"9700 Red Oak Ct, Bakersfield, CA 93311",93311,appreciation,Single Family,3,464000,2540,0.040076655172413794,0.4980146191292508,0.24801461912925082,0.14801461912925085,False
"8418 Hosey Ave, Bakersfield, CA 93311",93311,appreciation,Multi-Family,4,525000,2850,0.040069942857142854,0.49809869511122373,0.24809869511122373,0.14809869511122375,False
"6500 Shreveport Ct, Bakersfield, CA 93309",93309,middle,Single Family,3,397000,2190,0.03984596473551637,0.5009041623391569,0.2509041623391569,0.15090416233915693,False
"613 Harrisburg St, Bakersfield, CA 93314",93314,appreciation,Single Family,3,477000,2570,0.039316025157232704,0.5075419897700828,0.2575419897700828,0.15754198977008282,False
"6909 Cedarcrest Ave, Bakersfield, CA 93308",93308,cash-flow,Single Family,3,421000,2250,0.038378147268408554,0.5192895018118491,0.2692895018118491,0.1692895018118491,False
"4522 Whitegate Ave, Bakersfield, CA 93313",93313,middle,Single Family,3,475000,2470,0.037414366315789475,0.5313614660637331,0.28136146606373313,0.18136146606373316,False
"9313 Windcreek Ct, Bakersfield, CA 93312",93312,appreciation,Single Family,3,500000,2540,0.036399136,0.5440778660365011,0.2940778660365011,0.19407786603650112,False
"14259 Wible Rd, Bakersfield, CA 93313",93313,middle,Single Family,2,369000,1910,0.03608637398373984,0.5479954075373779,0.29799540753737785,0.19799540753737788,False
"11712 Judy Ave, Bakersfield, CA 93312",93312,appreciation,Multi-Family,5,738000,3430,0.03322013008130081,0.5838969200474514,0.3338969200474514,0.23389692004745144,False
"3611 Hosking Ave, Bakersfield, CA 93313",93313,middle,Multi-Family,3,570000,2500,0.029873684210526316,0.6258132650562134,0.3758132650562134,0.2758132650562134,False
"611 Henson St, Bakersfield, CA 93314",93314,appreciation,Multi-Family,3,634000,2700,0.028914574132492113,0.6378267236581772,0.38782672365817716,0.2878267236581772,False
"2228 Arlington St, Bakersfield, CA 93305",93305,cash-flow,Single Family,1,210000,1010,0.028712342857142855,0.6403597979215716,0.3903597979215716,0.2903597979215716,False
"6737 Ryan Park Ct, Bakersfield, CA 93313",93313,middle,Multi-Family,3,627000,2530,0.02663823923444976,0.6663392538548021,0.4163392538548021,0.3163392538548021,False
"1307 E Planz Rd, Bakersfield, CA 93307",93307,cash-flow,Multi-Family,6,551000,2180,0.025452733212341195,0.6811884644356883,0.43118846443568826,0.3311884644356883,False
"800 Black Rock Way, # A, Bakersfield, CA 93308",93308,cash-flow,Multi-Family,5,585000,2070,0.021446399999999997,0.7313703145636539,0.48137031456365387,0.3813703145636539,True
"1210 Oregon St, Bakersfield, CA 93305",93305,cash-flow,Multi-Family,1,404000,1420,0.01983085148514851,0.7516060785777406,0.5016060785777406,0.40160607857774067,False
"10201 Heather Valley Dr, Bakersfield, CA 93312",93312,appreciation,Multi-Family,1,467000,1560,0.01868126766595289,0.7660053409123624,0.5160053409123624,0.4160053409123624,False
"3601 Micheli Ct, Bakersfield, CA 93309",93309,middle,Multi-Family,8,560000,1630,0.01500695714285714,0.8120283974633299,0.5620283974633299,0.4620283974633299,True
"2212 Cullen Ct, Bakersfield, CA 93314",93314,appreciation,Multi-Family,10,1001000,2760,0.01488230969030969,0.8135896854169381,0.5635896854169381,0.4635896854169381,True
"6804 N Half Moon Dr, Bakersfield, CA 93309",93309,middle,Multi-Family,2,553000,1400,0.011160723327305604,0.8602049016778482,0.6102049016778482,0.5102049016778483,False
"235 Dr Martin Luther King Jr Blvd, Bakersfield, CA 93307",93307,cash-flow,Multi-Family,10,650000,1610,0.011097095384615382,0.8610018817877891,0.6110018817877891,0.5110018817877892,True
"1207 Monterey St, Bakersfield, CA 93305",93305,cash-flow,Multi-Family,8,625000,1350,0.007804672,0.9022415610874618,0.6522415610874618,0.5522415610874618,True
"216 E Warren Ave, Bakersfield, CA 93308",93308,cash-flow,Multi-Family,1,421000,950,0.007378242280285035,0.9075828622600475,0.6575828622600475,0.5575828622600475,False
